
<7>[    3.589317] random 0030 0000 0000 9bdad8b7 f39b4c75: add_timer_randomness(.. 8388864) with jiffies: 6305966547009461895, cycles: 6305966542714571213
[    5.109658] random 0084 0000 0000 58e8da5c f5aa01cb: debiting 128 entropy credits from nonblocking (unlimited)
[    5.109661] random 0084 0000 0000 58e8da5c f5aa01cb: extract_entropy account returned: 16 
[    5.109664] random 0084 0000 0000 58e8da5c f5aa01cb: urand_change_num 1416 extract_buf: pool_sig 00000241, data_sig ffffff16, bytes_mixed 20 58e8da5c f5aa01cb
[    5.109669] random 0084 0000 0000 58e8da5c f5aa01cb: urand_change_num 1417 extract_buf: pool_sig 00000145, data_sig 00000065, bytes_mixed 20 58e8da5c f5aa01cb
[    5.111170] random 0084 0000 0000 76bb02c0 553aa81d: rand_read_num 470 get_random_bytes(16): sig 000001e5 76bb02c0 553aa81d
[    5.111173] random 0084 0000 0000 76bb02c0 553aa81d: extract_entropy(.. 16 ..)
[    5.111177] random 0084 0000 0000 76bb02c0 553aa81d: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.111179] random 0084 0000 0000 76bb02c0 553aa81d: extract_entropy(.. 16 ..)
[    5.111181] random 0084 0000 0000 76bb02c0 553aa81d: trying to extract 128 bits from input
[    5.111184] random 0084 0000 0000 76bb02c0 553aa81d: debiting 0 entropy credits from input
[    5.111186] random 0084 0000 0000 76bb02c0 553aa81d: extract_entropy account returned: 0 
[    5.111189] random 0084 0000 0000 76bb02c0 553aa81d: urand_change_num 1418 xfer_secondary_pool(16): pool_sig 000001e5, data_sig 00000000, bytes_mixed 0 76bb02c0 553aa81d
[    5.111192] random 0084 0000 0000 76bb02c0 553aa81d: trying to extract 128 bits from nonblocking
[    5.111195] random 0084 0000 0000 76bb02c0 553aa81d: debiting 128 entropy credits from nonblocking (unlimited)
[    5.111197] random 0084 0000 0000 76bb02c0 553aa81d: extract_entropy account returned: 16 
[    5.111201] random 0084 0000 0000 76bb02c0 553aa81d: urand_change_num 1419 extract_buf: pool_sig 000001e5, data_sig 00000072, bytes_mixed 20 76bb02c0 553aa81d
[    5.111206] random 0084 0000 0000 a5e0b112 d04de47c: urand_change_num 1420 extract_buf: pool_sig fffffcce, data_sig 000000f6, bytes_mixed 20 a5e0b112 d04de47c
[    5.111720] random 0084 0000 0000 a5e0b112 d04de47c: rand_read_num 471 get_random_bytes(16): sig fffffd55 a5e0b112 d04de47c
[    5.111723] random 0084 0000 0000 a5e0b112 d04de47c: extract_entropy(.. 16 ..)
[    5.111725] random 0084 0000 0000 a5e0b112 d04de47c: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.111728] random 0084 0000 0000 a5e0b112 d04de47c: extract_entropy(.. 16 ..)
[    5.111730] random 0084 0000 0000 a5e0b112 d04de47c: trying to extract 128 bits from input
[    5.111732] random 0084 0000 0000 a5e0b112 d04de47c: debiting 0 entropy credits from input
[    5.111735] random 0084 0000 0000 a5e0b112 d04de47c: extract_entropy account returned: 0 
[    5.111738] random 0084 0000 0000 a5e0b112 d04de47c: urand_change_num 1421 xfer_secondary_pool(16): pool_sig fffffd55, data_sig 00000000, bytes_mixed 0 a5e0b112 d04de47c
[    5.111741] random 0084 0000 0000 a5e0b112 d04de47c: trying to extract 128 bits from nonblocking
[    5.111743] random 0084 0000 0000 a5e0b112 d04de47c: debiting 128 entropy credits from nonblocking (unlimited)
[    5.111745] random 0084 0000 0000 a5e0b112 d04de47c: extract_entropy account returned: 16 
[    5.111749] random 0084 0000 0000 a5e0b112 d04de47c: urand_change_num 1422 extract_buf: pool_sig fffffd55, data_sig fffffe1d, bytes_mixed 20 a5e0b112 d04de47c
[    5.111754] random 0084 0000 0000 9f64bb28 28dc32c9: urand_change_num 1423 extract_buf: pool_sig 00000077, data_sig fffffe40, bytes_mixed 20 9f64bb28 28dc32c9
[    5.112141] RANDOM get_random_int call with cycles 10781193091253, jiffies 4294893572 and pid 1
[    5.112322] random 0084 0000 0000 c74218bf 2978da83: rand_read_num 472 get_random_bytes(16): sig 000003ac c74218bf 2978da83
[    5.112325] random 0084 0000 0000 c74218bf 2978da83: extract_entropy(.. 16 ..)
[    5.112327] random 0084 0000 0000 c74218bf 2978da83: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.112330] random 0084 0000 0000 c74218bf 2978da83: extract_entropy(.. 16 ..)
[    5.112332] random 0084 0000 0000 c74218bf 2978da83: trying to extract 128 bits from input
[    5.112334] random 0084 0000 0000 c74218bf 2978da83: debiting 0 entropy credits from input
[    5.112336] random 0084 0000 0000 c74218bf 2978da83: extract_entropy account returned: 0 
[    5.112340] random 0084 0000 0000 c74218bf 2978da83: urand_change_num 1424 xfer_secondary_pool(16): pool_sig 000003ac, data_sig 00000000, bytes_mixed 0 c74218bf 2978da83
[    5.112342] random 0084 0000 0000 c74218bf 2978da83: trying to extract 128 bits from nonblocking
[    5.112345] random 0084 0000 0000 c74218bf 2978da83: debiting 128 entropy credits from nonblocking (unlimited)
[    5.112347] random 0084 0000 0000 c74218bf 2978da83: extract_entropy account returned: 16 
[    5.112351] random 0084 0000 0000 c74218bf 2978da83: urand_change_num 1425 extract_buf: pool_sig 000003ac, data_sig ffffff21, bytes_mixed 20 c74218bf 2978da83
[    5.112356] random 0084 0000 0000 c74218bf 2978da83: urand_change_num 1426 extract_buf: pool_sig fffffd79, data_sig 0000003b, bytes_mixed 20 c74218bf 2978da83
[    5.113311] random 0084 0000 0000 d0e77ca7 65e4fb94: add_disk_randomness(8:0) d0e77ca7 65e4fb94
[    5.113316] random 0084 0000 0000 d0e77ca7 65e4fb94: add_timer_randomness(.. 8388864) with jiffies: 3556206906471014404, cycles: 3556206902176123342
[    5.116863] random 0084 0000 0000 d0e77ca7 65e4fb94: rand_read_num 473 get_random_bytes(16): sig ffffff62 d0e77ca7 65e4fb94
[    5.116866] random 0084 0000 0000 d0e77ca7 65e4fb94: extract_entropy(.. 16 ..)
[    5.116869] random 0084 0000 0000 d0e77ca7 65e4fb94: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.116872] random 0084 0000 0000 d0e77ca7 65e4fb94: extract_entropy(.. 16 ..)
[    5.116874] random 0084 0000 0000 d0e77ca7 65e4fb94: trying to extract 128 bits from input
[    5.116877] random 0084 0000 0000 d0e77ca7 65e4fb94: debiting 0 entropy credits from input
[    5.116879] random 0084 0000 0000 d0e77ca7 65e4fb94: extract_entropy account returned: 0 
[    5.116882] random 0084 0000 0000 d0e77ca7 65e4fb94: urand_change_num 1427 xfer_secondary_pool(16): pool_sig ffffff62, data_sig 00000000, bytes_mixed 0 d0e77ca7 65e4fb94
[    5.116885] random 0084 0000 0000 d0e77ca7 65e4fb94: trying to extract 128 bits from nonblocking
[    5.116887] random 0084 0000 0000 d0e77ca7 65e4fb94: debiting 128 entropy credits from nonblocking (unlimited)
[    5.116890] random 0084 0000 0000 d0e77ca7 65e4fb94: extract_entropy account returned: 16 
[    5.116893] random 0084 0000 0000 d0e77ca7 65e4fb94: urand_change_num 1428 extract_buf: pool_sig ffffff62, data_sig 00000107, bytes_mixed 20 d0e77ca7 65e4fb94
[    5.116898] random 0084 0000 0000 d0e77ca7 65e4fb94: urand_change_num 1429 extract_buf: pool_sig 00000017, data_sig ffffffc2, bytes_mixed 20 d0e77ca7 65e4fb94
[    5.122277] random 0084 0000 0000 1c2325e4 34ea9f59: add_disk_randomness(8:0) 1c2325e4 34ea9f59
[    5.122282] random 0084 0000 0000 1c2325e4 34ea9f59: add_timer_randomness(.. 8388864) with jiffies: 3648563606871531527, cycles: 3648563602576640462
[    5.122702] random 0084 0000 0000 1c2325e4 34ea9f59: rand_read_num 474 get_random_bytes(16): sig fffffb64 1c2325e4 34ea9f59
[    5.122706] random 0084 0000 0000 1c2325e4 34ea9f59: extract_entropy(.. 16 ..)
[    5.122709] random 0084 0000 0000 1c2325e4 34ea9f59: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.122711] random 0084 0000 0000 1c2325e4 34ea9f59: extract_entropy(.. 16 ..)
[    5.122714] random 0084 0000 0000 1c2325e4 34ea9f59: trying to extract 128 bits from input
[    5.122717] random 0084 0000 0000 1c2325e4 34ea9f59: debiting 0 entropy credits from input
[    5.122720] random 0084 0000 0000 1c2325e4 34ea9f59: extract_entropy account returned: 0 
[    5.122724] random 0084 0000 0000 1c2325e4 34ea9f59: urand_change_num 1430 xfer_secondary_pool(16): pool_sig fffffb64, data_sig 00000000, bytes_mixed 0 1c2325e4 34ea9f59
[    5.122727] random 0084 0000 0000 1c2325e4 34ea9f59: trying to extract 128 bits from nonblocking
[    5.122730] random 0084 0000 0000 1c2325e4 34ea9f59: debiting 128 entropy credits from nonblocking (unlimited)
[    5.122732] random 0084 0000 0000 1c2325e4 34ea9f59: extract_entropy account returned: 16 
[    5.122736] random 0084 0000 0000 1c2325e4 34ea9f59: urand_change_num 1431 extract_buf: pool_sig fffffb64, data_sig fffffea2, bytes_mixed 20 1c2325e4 34ea9f59
[    5.122740] random 0084 0000 0000 99a34da8 c162476f: urand_change_num 1432 extract_buf: pool_sig fffffdbd, data_sig ffffff7f, bytes_mixed 20 99a34da8 c162476f
[    5.123463] random 0084 0000 0000 99a34da8 c162476f: rand_read_num 475 get_random_bytes(16): sig fffffefa 99a34da8 c162476f
[    5.123466] random 0084 0000 0000 99a34da8 c162476f: extract_entropy(.. 16 ..)
[    5.123469] random 0084 0000 0000 99a34da8 c162476f: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.123471] random 0084 0000 0000 99a34da8 c162476f: extract_entropy(.. 16 ..)
[    5.123473] random 0084 0000 0000 99a34da8 c162476f: trying to extract 128 bits from input
[    5.123476] random 0084 0000 0000 99a34da8 c162476f: debiting 0 entropy credits from input
[    5.123478] random 0084 0000 0000 99a34da8 c162476f: extract_entropy account returned: 0 
[    5.123481] random 0084 0000 0000 99a34da8 c162476f: urand_change_num 1433 xfer_secondary_pool(16): pool_sig fffffefa, data_sig 00000000, bytes_mixed 0 99a34da8 c162476f
[    5.123484] random 0084 0000 0000 99a34da8 c162476f: trying to extract 128 bits from nonblocking
[    5.123486] random 0084 0000 0000 99a34da8 c162476f: debiting 128 entropy credits from nonblocking (unlimited)
[    5.123489] random 0084 0000 0000 99a34da8 c162476f: extract_entropy account returned: 16 
[    5.123492] random 0084 0000 0000 99a34da8 c162476f: urand_change_num 1434 extract_buf: pool_sig fffffefa, data_sig ffffff94, bytes_mixed 20 99a34da8 c162476f
[    5.123497] random 0084 0000 0000 d6a72b4a f84a22f4: urand_change_num 1435 extract_buf: pool_sig ffffff41, data_sig 000000b9, bytes_mixed 20 d6a72b4a f84a22f4
[    5.124248] random 0084 0000 0000 b1a0681f 6dea6916: rand_read_num 476 get_random_bytes(16): sig 00000587 b1a0681f 6dea6916
[    5.124251] random 0084 0000 0000 b1a0681f 6dea6916: extract_entropy(.. 16 ..)
[    5.124254] random 0084 0000 0000 b1a0681f 6dea6916: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.124256] random 0084 0000 0000 b1a0681f 6dea6916: extract_entropy(.. 16 ..)
[    5.124259] random 0084 0000 0000 b1a0681f 6dea6916: trying to extract 128 bits from input
[    5.124261] random 0084 0000 0000 b1a0681f 6dea6916: debiting 0 entropy credits from input
[    5.124264] random 0084 0000 0000 b1a0681f 6dea6916: extract_entropy account returned: 0 
[    5.124267] random 0084 0000 0000 b1a0681f 6dea6916: urand_change_num 1436 xfer_secondary_pool(16): pool_sig 00000587, data_sig 00000000, bytes_mixed 0 b1a0681f 6dea6916
[    5.124269] random 0084 0000 0000 b1a0681f 6dea6916: trying to extract 128 bits from nonblocking
[    5.124272] random 0084 0000 0000 b1a0681f 6dea6916: debiting 128 entropy credits from nonblocking (unlimited)
[    5.124274] random 0084 0000 0000 b1a0681f 6dea6916: extract_entropy account returned: 16 
[    5.124278] random 0084 0000 0000 b1a0681f 6dea6916: urand_change_num 1437 extract_buf: pool_sig 00000587, data_sig 000000d8, bytes_mixed 20 b1a0681f 6dea6916
[    5.124283] random 0084 0000 0000 b1a0681f 6dea6916: urand_change_num 1438 extract_buf: pool_sig 00000270, data_sig 00000134, bytes_mixed 20 b1a0681f 6dea6916
[    5.130378] random 0084 0000 0000 cc4efa51 fa438e9d: rand_read_num 477 get_random_bytes(16): sig fffffd27 cc4efa51 fa438e9d
[    5.130382] random 0084 0000 0000 cc4efa51 fa438e9d: extract_entropy(.. 16 ..)
[    5.130384] random 0084 0000 0000 cc4efa51 fa438e9d: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.130387] random 0084 0000 0000 cc4efa51 fa438e9d: extract_entropy(.. 16 ..)
[    5.130389] random 0084 0000 0000 cc4efa51 fa438e9d: trying to extract 128 bits from input
[    5.130391] random 0084 0000 0000 cc4efa51 fa438e9d: debiting 0 entropy credits from input
[    5.130393] random 0084 0000 0000 cc4efa51 fa438e9d: extract_entropy account returned: 0 
[    5.130396] random 0084 0000 0000 cc4efa51 fa438e9d: urand_change_num 1439 xfer_secondary_pool(16): pool_sig fffffd27, data_sig 00000000, bytes_mixed 0 cc4efa51 fa438e9d
[    5.130399] random 0084 0000 0000 cc4efa51 fa438e9d: trying to extract 128 bits from nonblocking
[    5.130402] random 0084 0000 0000 cc4efa51 fa438e9d: debiting 128 entropy credits from nonblocking (unlimited)
[    5.130404] random 0084 0000 0000 cc4efa51 fa438e9d: extract_entropy account returned: 16 
[    5.130408] random 0084 0000 0000 cc4efa51 fa438e9d: urand_change_num 1440 extract_buf: pool_sig fffffd27, data_sig ffffffd1, bytes_mixed 20 cc4efa51 fa438e9d
[    5.130412] random 0084 0000 0000 cc4efa51 fa438e9d: urand_change_num 1441 extract_buf: pool_sig 00000071, data_sig 00000190, bytes_mixed 20 cc4efa51 fa438e9d
[    5.131027] RANDOM get_random_int call with cycles 10781238381646, jiffies 4294893577 and pid 1
[    5.131209] random 0084 0000 0000 bb72c1d1 9a6fa635: rand_read_num 478 get_random_bytes(16): sig fffffc6f bb72c1d1 9a6fa635
[    5.131211] random 0084 0000 0000 bb72c1d1 9a6fa635: extract_entropy(.. 16 ..)
[    5.131214] random 0084 0000 0000 bb72c1d1 9a6fa635: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.131216] random 0084 0000 0000 bb72c1d1 9a6fa635: extract_entropy(.. 16 ..)
[    5.131218] random 0084 0000 0000 bb72c1d1 9a6fa635: trying to extract 128 bits from input
[    5.131220] random 0084 0000 0000 bb72c1d1 9a6fa635: debiting 0 entropy credits from input
[    5.131222] random 0084 0000 0000 bb72c1d1 9a6fa635: extract_entropy account returned: 0 
[    5.131225] random 0084 0000 0000 bb72c1d1 9a6fa635: urand_change_num 1442 xfer_secondary_pool(16): pool_sig fffffc6f, data_sig 00000000, bytes_mixed 0 bb72c1d1 9a6fa635
[    5.131228] random 0084 0000 0000 bb72c1d1 9a6fa635: trying to extract 128 bits from nonblocking
[    5.131230] random 0084 0000 0000 bb72c1d1 9a6fa635: debiting 128 entropy credits from nonblocking (unlimited)
[    5.131233] random 0084 0000 0000 bb72c1d1 9a6fa635: extract_entropy account returned: 16 
[    5.131236] random 0084 0000 0000 bb72c1d1 9a6fa635: urand_change_num 1443 extract_buf: pool_sig fffffc6f, data_sig ffffff9c, bytes_mixed 20 bb72c1d1 9a6fa635
[    5.131240] random 0084 0000 0000 c1b97e1a 62a208e4: urand_change_num 1444 extract_buf: pool_sig fffff9ee, data_sig 00000169, bytes_mixed 20 c1b97e1a 62a208e4
[    5.131576] random 0084 0000 0000 c1b97e1a 62a208e4: rand_read_num 479 get_random_bytes(16): sig fffffed9 c1b97e1a 62a208e4
[    5.131579] random 0084 0000 0000 c1b97e1a 62a208e4: extract_entropy(.. 16 ..)
[    5.131581] random 0084 0000 0000 c1b97e1a 62a208e4: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.131584] random 0084 0000 0000 c1b97e1a 62a208e4: extract_entropy(.. 16 ..)
[    5.131586] random 0084 0000 0000 c1b97e1a 62a208e4: trying to extract 128 bits from input
[    5.131588] random 0084 0000 0000 c1b97e1a 62a208e4: debiting 0 entropy credits from input
[    5.131590] random 0084 0000 0000 c1b97e1a 62a208e4: extract_entropy account returned: 0 
[    5.131593] random 0084 0000 0000 c1b97e1a 62a208e4: urand_change_num 1445 xfer_secondary_pool(16): pool_sig fffffed9, data_sig 00000000, bytes_mixed 0 c1b97e1a 62a208e4
[    5.131595] random 0084 0000 0000 c1b97e1a 62a208e4: trying to extract 128 bits from nonblocking
[    5.131598] random 0084 0000 0000 c1b97e1a 62a208e4: debiting 128 entropy credits from nonblocking (unlimited)
[    5.131600] random 0084 0000 0000 c1b97e1a 62a208e4: extract_entropy account returned: 16 
[    5.131604] random 0084 0000 0000 c1b97e1a 62a208e4: urand_change_num 1446 extract_buf: pool_sig fffffed9, data_sig ffffff0a, bytes_mixed 20 c1b97e1a 62a208e4
[    5.131610] random 0084 0000 0000 f06e12f5 50f84722: urand_change_num 1447 extract_buf: pool_sig 00000211, data_sig ffffff90, bytes_mixed 20 f06e12f5 50f84722
[    5.131737] random 0084 0000 0000 6f5b8bbe 0a5e7b98: add_disk_randomness(8:0) 6f5b8bbe 0a5e7b98
[    5.131741] random 0084 0000 0000 6f5b8bbe 0a5e7b98: add_timer_randomness(.. 8388864) with jiffies: 3745987058716303369, cycles: 3745987054421412302
[    5.132375] random 0084 0000 0000 6f5b8bbe 0a5e7b98: rand_read_num 480 get_random_bytes(16): sig ffffff8b 6f5b8bbe 0a5e7b98
[    5.132378] random 0084 0000 0000 6f5b8bbe 0a5e7b98: extract_entropy(.. 16 ..)
[    5.132381] random 0084 0000 0000 6f5b8bbe 0a5e7b98: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.132384] random 0084 0000 0000 6f5b8bbe 0a5e7b98: extract_entropy(.. 16 ..)
[    5.132386] random 0084 0000 0000 6f5b8bbe 0a5e7b98: trying to extract 128 bits from input
[    5.132389] random 0084 0000 0000 6f5b8bbe 0a5e7b98: debiting 0 entropy credits from input
[    5.132391] random 0084 0000 0000 6f5b8bbe 0a5e7b98: extract_entropy account returned: 0 
[    5.132394] random 0084 0000 0000 6f5b8bbe 0a5e7b98: urand_change_num 1448 xfer_secondary_pool(16): pool_sig ffffff8b, data_sig 00000000, bytes_mixed 0 6f5b8bbe 0a5e7b98
[    5.132397] random 0084 0000 0000 6f5b8bbe 0a5e7b98: trying to extract 128 bits from nonblocking
[    5.132400] random 0084 0000 0000 6f5b8bbe 0a5e7b98: debiting 128 entropy credits from nonblocking (unlimited)
[    5.132402] random 0084 0000 0000 6f5b8bbe 0a5e7b98: extract_entropy account returned: 16 
[    5.132406] random 0084 0000 0000 6f5b8bbe 0a5e7b98: urand_change_num 1449 extract_buf: pool_sig ffffff8b, data_sig 000001d4, bytes_mixed 20 6f5b8bbe 0a5e7b98
[    5.132410] random 0084 0000 0000 6f5b8bbe 0a5e7b98: urand_change_num 1450 extract_buf: pool_sig fffffc87, data_sig fffffe66, bytes_mixed 20 6f5b8bbe 0a5e7b98
[    5.132825] random 0084 0000 0000 96c7aa87 e2875cc9: rand_read_num 481 get_random_bytes(16): sig fffff6b1 96c7aa87 e2875cc9
[    5.132828] random 0084 0000 0000 96c7aa87 e2875cc9: extract_entropy(.. 16 ..)
[    5.132831] random 0084 0000 0000 96c7aa87 e2875cc9: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.132833] random 0084 0000 0000 96c7aa87 e2875cc9: extract_entropy(.. 16 ..)
[    5.132836] random 0084 0000 0000 96c7aa87 e2875cc9: trying to extract 128 bits from input
[    5.132838] random 0084 0000 0000 96c7aa87 e2875cc9: debiting 0 entropy credits from input
[    5.132840] random 0084 0000 0000 96c7aa87 e2875cc9: extract_entropy account returned: 0 
