
<7>[    3.963118] random 0030 0000 0000 cb172a87 fec132c2: add_disk_randomness(8:0) cb172a87 fec132c2
[    5.465139] random 0095 0000 0000 2173e648 31c57290: added 3 entropy credits to input
[    5.465589] random 0098 0000 0000 2173e648 31c57290: add_disk_randomness(8:0) 2173e648 31c57290
[    5.465593] random 0098 0000 0000 2173e648 31c57290: add_timer_randomness(.. 8388864) with jiffies: 3942968239029411932, cycles: 3942968234734521585
[    5.466098] random 0098 0000 0000 2173e648 31c57290: add_disk_randomness(8:0) 2173e648 31c57290
[    5.466102] random 0098 0000 0000 2173e648 31c57290: add_timer_randomness(.. 8388864) with jiffies: 3948216238093557852, cycles: 3948216233798667505
[    5.466169] UDP snum after finding: 14e9
[    5.466193] UDP snum after finding: 14e9
[    5.466230] RANDOM - __random32 called. Change num 2.  Value: 79ebe47	eca4f802	15a585fb
[    5.466233] RANDOM - random32 called.  Value: 79ebe47	eca4f802	15a585fb
[    5.466234] UDP rand value before processing fe9fc3be
[    5.466236] UDP first value edb1 before processing
[    5.466237] UDP snum after finding: edb1
[    5.466247] RANDOM - __random32 called. Change num 3.  Value: ebe47a0a	ca4f802f	bf71135
[    5.466249] RANDOM - random32 called.  Value: ebe47a0a	ca4f802f	bf71135
[    5.466250] UDP rand value before processing 2a5ceb10
[    5.466252] UDP first value 9240 before processing
[    5.466253] UDP snum after finding: 9240
[    5.466740] NET: Registered protocol family 31
[    5.466742] Bluetooth: HCI device and connection manager initialized
[    5.466744] Bluetooth: HCI socket layer initialized
[    5.468585] random 0098 0000 0000 2173e648 31c57290: rand_read_num 640 get_random_bytes(16): sig ffffffbd 2173e648 31c57290
[    5.468588] random 0098 0000 0000 2173e648 31c57290: extract_entropy(.. 16 ..)
[    5.468591] random 0098 0000 0000 2173e648 31c57290: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.468593] random 0098 0000 0000 2173e648 31c57290: extract_entropy(.. 16 ..)
[    5.468596] random 0098 0000 0000 2173e648 31c57290: trying to extract 128 bits from input
[    5.468598] random 0098 0000 0000 2173e648 31c57290: debiting 0 entropy credits from input
[    5.468600] random 0098 0000 0000 2173e648 31c57290: extract_entropy account returned: 0 
[    5.468604] random 0098 0000 0000 2173e648 31c57290: urand_change_num 1927 xfer_secondary_pool(16): pool_sig ffffffbd, data_sig 00000000, bytes_mixed 0 2173e648 31c57290
[    5.468606] random 0098 0000 0000 2173e648 31c57290: trying to extract 128 bits from nonblocking
[    5.468609] random 0098 0000 0000 2173e648 31c57290: debiting 128 entropy credits from nonblocking (unlimited)
[    5.468611] random 0098 0000 0000 2173e648 31c57290: extract_entropy account returned: 16 
[    5.468615] random 0098 0000 0000 2173e648 31c57290: urand_change_num 1928 extract_buf: pool_sig ffffffbd, data_sig 00000093, bytes_mixed 20 2173e648 31c57290
[    5.468620] random 0098 0000 0000 3ed14ac6 01284170: urand_change_num 1929 extract_buf: pool_sig 0000069b, data_sig 000000eb, bytes_mixed 20 3ed14ac6 01284170
[    5.481315] random 0098 0000 0000 3ed14ac6 01284170: rand_read_num 641 get_random_bytes(16): sig 000005a8 3ed14ac6 01284170
[    5.481319] random 0098 0000 0000 3ed14ac6 01284170: extract_entropy(.. 16 ..)
[    5.481322] random 0098 0000 0000 3ed14ac6 01284170: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.481325] random 0098 0000 0000 3ed14ac6 01284170: extract_entropy(.. 16 ..)
[    5.481327] random 0098 0000 0000 3ed14ac6 01284170: trying to extract 128 bits from input
[    5.481330] random 0098 0000 0000 3ed14ac6 01284170: debiting 0 entropy credits from input
[    5.481332] random 0098 0000 0000 3ed14ac6 01284170: extract_entropy account returned: 0 
[    5.481335] random 0098 0000 0000 3ed14ac6 01284170: urand_change_num 1930 xfer_secondary_pool(16): pool_sig 000005a8, data_sig 00000000, bytes_mixed 0 3ed14ac6 01284170
[    5.481338] random 0098 0000 0000 3ed14ac6 01284170: trying to extract 128 bits from nonblocking
[    5.481341] random 0098 0000 0000 3ed14ac6 01284170: debiting 128 entropy credits from nonblocking (unlimited)
[    5.481343] random 0098 0000 0000 3ed14ac6 01284170: extract_entropy account returned: 16 
[    5.481347] random 0098 0000 0000 3ed14ac6 01284170: urand_change_num 1931 extract_buf: pool_sig 000005a8, data_sig ffffffb5, bytes_mixed 20 3ed14ac6 01284170
[    5.481352] random 0098 0000 0000 a414440b 55aea2f2: urand_change_num 1932 extract_buf: pool_sig 00000099, data_sig 000000e6, bytes_mixed 20 a414440b 55aea2f2
[    5.481980] random 0098 0000 0000 a414440b 55aea2f2: rand_read_num 642 get_random_bytes(16): sig fffffe3c a414440b 55aea2f2
[    5.481983] random 0098 0000 0000 a414440b 55aea2f2: extract_entropy(.. 16 ..)
[    5.481986] random 0098 0000 0000 a414440b 55aea2f2: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.481989] random 0098 0000 0000 a414440b 55aea2f2: extract_entropy(.. 16 ..)
[    5.481991] random 0098 0000 0000 a414440b 55aea2f2: trying to extract 128 bits from input
[    5.481994] random 0098 0000 0000 a414440b 55aea2f2: debiting 0 entropy credits from input
[    5.481996] random 0098 0000 0000 a414440b 55aea2f2: extract_entropy account returned: 0 
[    5.481999] random 0098 0000 0000 a414440b 55aea2f2: urand_change_num 1933 xfer_secondary_pool(16): pool_sig fffffe3c, data_sig 00000000, bytes_mixed 0 a414440b 55aea2f2
[    5.482002] random 0098 0000 0000 a414440b 55aea2f2: trying to extract 128 bits from nonblocking
[    5.482005] random 0098 0000 0000 a414440b 55aea2f2: debiting 128 entropy credits from nonblocking (unlimited)
[    5.482007] random 0098 0000 0000 a414440b 55aea2f2: extract_entropy account returned: 16 
[    5.482010] random 0098 0000 0000 a414440b 55aea2f2: urand_change_num 1934 extract_buf: pool_sig fffffe3c, data_sig ffffff1b, bytes_mixed 20 a414440b 55aea2f2
[    5.482015] random 0098 0000 0000 ae13542b 3910697d: urand_change_num 1935 extract_buf: pool_sig fffffeba, data_sig 000000a8, bytes_mixed 20 ae13542b 3910697d
[    5.489014] random 0098 0000 0000 a54ab3f4 53c11651: rand_read_num 643 get_random_bytes(16): sig fffffe26 a54ab3f4 53c11651
[    5.489017] random 0098 0000 0000 a54ab3f4 53c11651: extract_entropy(.. 16 ..)
[    5.489021] random 0098 0000 0000 a54ab3f4 53c11651: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.489023] random 0098 0000 0000 a54ab3f4 53c11651: extract_entropy(.. 16 ..)
[    5.489026] random 0098 0000 0000 a54ab3f4 53c11651: trying to extract 128 bits from input
[    5.489028] random 0098 0000 0000 a54ab3f4 53c11651: debiting 0 entropy credits from input
[    5.489030] random 0098 0000 0000 a54ab3f4 53c11651: extract_entropy account returned: 0 
[    5.489033] random 0098 0000 0000 a54ab3f4 53c11651: urand_change_num 1936 xfer_secondary_pool(16): pool_sig fffffe26, data_sig 00000000, bytes_mixed 0 a54ab3f4 53c11651
[    5.489036] random 0098 0000 0000 a54ab3f4 53c11651: trying to extract 128 bits from nonblocking
[    5.489039] random 0098 0000 0000 a54ab3f4 53c11651: debiting 128 entropy credits from nonblocking (unlimited)
[    5.489041] random 0098 0000 0000 a54ab3f4 53c11651: extract_entropy account returned: 16 
[    5.489045] random 0098 0000 0000 a54ab3f4 53c11651: urand_change_num 1937 extract_buf: pool_sig fffffe26, data_sig fffffd11, bytes_mixed 20 a54ab3f4 53c11651
[    5.489050] random 0098 0000 0000 a54ab3f4 53c11651: urand_change_num 1938 extract_buf: pool_sig ffffff69, data_sig fffffe83, bytes_mixed 20 a54ab3f4 53c11651
[    5.490099] random 0098 0000 0000 bcdd231b ecb054cb: add_disk_randomness(8:0) bcdd231b ecb054cb
[    5.490104] random 0098 0000 0000 bcdd231b ecb054cb: add_timer_randomness(.. 8388864) with jiffies: 4195420429503881314, cycles: 4195420425208990961
[    5.490107] random 0098 0000 0000 bcdd231b ecb054cb: added 2 entropy credits to input
[    5.492304] random 0100 0000 0000 bcdd231b ecb054cb: add_disk_randomness(8:0) bcdd231b ecb054cb
[    5.492309] random 0100 0000 0000 bcdd231b ecb054cb: add_timer_randomness(.. 8388864) with jiffies: 4218133895897342050, cycles: 4218133891602451697
[    5.492639] random 0100 0000 0000 bcdd231b ecb054cb: rand_read_num 644 get_random_bytes(16): sig fffffb23 bcdd231b ecb054cb
[    5.492642] random 0100 0000 0000 bcdd231b ecb054cb: extract_entropy(.. 16 ..)
[    5.492646] random 0100 0000 0000 bcdd231b ecb054cb: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.492650] random 0100 0000 0000 bcdd231b ecb054cb: extract_entropy(.. 16 ..)
[    5.492653] random 0100 0000 0000 bcdd231b ecb054cb: trying to extract 128 bits from input
[    5.492655] random 0100 0000 0000 bcdd231b ecb054cb: debiting 0 entropy credits from input
[    5.492657] random 0100 0000 0000 bcdd231b ecb054cb: extract_entropy account returned: 0 
[    5.492661] random 0100 0000 0000 bcdd231b ecb054cb: urand_change_num 1939 xfer_secondary_pool(16): pool_sig fffffb23, data_sig 00000000, bytes_mixed 0 bcdd231b ecb054cb
[    5.492664] random 0100 0000 0000 bcdd231b ecb054cb: trying to extract 128 bits from nonblocking
[    5.492667] random 0100 0000 0000 bcdd231b ecb054cb: debiting 128 entropy credits from nonblocking (unlimited)
[    5.492670] random 0100 0000 0000 bcdd231b ecb054cb: extract_entropy account returned: 16 
[    5.492674] random 0100 0000 0000 bcdd231b ecb054cb: urand_change_num 1940 extract_buf: pool_sig fffffb23, data_sig 000001c7, bytes_mixed 20 bcdd231b ecb054cb
[    5.492679] random 0100 0000 0000 33042f13 b21fbc35: urand_change_num 1941 extract_buf: pool_sig fffffd86, data_sig ffffffdc, bytes_mixed 20 33042f13 b21fbc35
[    5.492898] random 0100 0000 0000 33042f13 b21fbc35: add_disk_randomness(8:0) 33042f13 b21fbc35
[    5.492902] random 0100 0000 0000 33042f13 b21fbc35: add_timer_randomness(.. 8388864) with jiffies: 4224250801205207139, cycles: 4224250796910316785
[    5.493605] Bluetooth: L2CAP ver 2.14
[    5.493607] Bluetooth: L2CAP socket layer initialized
[    5.494408] random 0100 0000 0000 33042f13 b21fbc35: rand_read_num 645 get_random_bytes(16): sig fffffb6d 33042f13 b21fbc35
[    5.494411] random 0100 0000 0000 33042f13 b21fbc35: extract_entropy(.. 16 ..)
[    5.494414] random 0100 0000 0000 33042f13 b21fbc35: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.494416] random 0100 0000 0000 33042f13 b21fbc35: extract_entropy(.. 16 ..)
[    5.494418] random 0100 0000 0000 33042f13 b21fbc35: trying to extract 128 bits from input
[    5.494421] random 0100 0000 0000 33042f13 b21fbc35: debiting 0 entropy credits from input
[    5.494423] random 0100 0000 0000 33042f13 b21fbc35: extract_entropy account returned: 0 
[    5.494426] random 0100 0000 0000 33042f13 b21fbc35: urand_change_num 1942 xfer_secondary_pool(16): pool_sig fffffb6d, data_sig 00000000, bytes_mixed 0 33042f13 b21fbc35
[    5.494428] random 0100 0000 0000 33042f13 b21fbc35: trying to extract 128 bits from nonblocking
[    5.494431] random 0100 0000 0000 33042f13 b21fbc35: debiting 128 entropy credits from nonblocking (unlimited)
[    5.494433] random 0100 0000 0000 33042f13 b21fbc35: extract_entropy account returned: 16 
[    5.494436] random 0100 0000 0000 33042f13 b21fbc35: urand_change_num 1943 extract_buf: pool_sig fffffb6d, data_sig fffffe9a, bytes_mixed 20 33042f13 b21fbc35
[    5.494441] random 0100 0000 0000 d4373f49 c728b488: urand_change_num 1944 extract_buf: pool_sig ffffffc6, data_sig 0000005c, bytes_mixed 20 d4373f49 c728b488
[    5.495029] RANDOM get_random_int call with cycles 14230215286625, jiffies 4294893667 and pid 1
[    5.495266] random 0100 0000 0000 d4373f49 c728b488: rand_read_num 646 get_random_bytes(16): sig 000006f5 d4373f49 c728b488
[    5.495268] random 0100 0000 0000 d4373f49 c728b488: extract_entropy(.. 16 ..)
[    5.495271] random 0100 0000 0000 d4373f49 c728b488: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.495273] random 0100 0000 0000 d4373f49 c728b488: extract_entropy(.. 16 ..)
[    5.495276] random 0100 0000 0000 d4373f49 c728b488: trying to extract 128 bits from input
[    5.495278] random 0100 0000 0000 d4373f49 c728b488: debiting 0 entropy credits from input
[    5.495280] random 0100 0000 0000 d4373f49 c728b488: extract_entropy account returned: 0 
[    5.495283] random 0100 0000 0000 d4373f49 c728b488: urand_change_num 1945 xfer_secondary_pool(16): pool_sig 000006f5, data_sig 00000000, bytes_mixed 0 d4373f49 c728b488
[    5.495285] random 0100 0000 0000 d4373f49 c728b488: trying to extract 128 bits from nonblocking
[    5.495288] random 0100 0000 0000 d4373f49 c728b488: debiting 128 entropy credits from nonblocking (unlimited)
[    5.495290] random 0100 0000 0000 d4373f49 c728b488: extract_entropy account returned: 16 
[    5.495293] random 0100 0000 0000 d4373f49 c728b488: urand_change_num 1946 extract_buf: pool_sig 000006f5, data_sig fffffd8d, bytes_mixed 20 d4373f49 c728b488
[    5.495298] random 0100 0000 0000 3c30d730 f9194c7c: urand_change_num 1947 extract_buf: pool_sig 000008a9, data_sig 00000040, bytes_mixed 20 3c30d730 f9194c7c
[    5.496031] random 0100 0000 0000 5b871a13 c10643dd: rand_read_num 647 get_random_bytes(16): sig 0000040f 5b871a13 c10643dd
[    5.496034] random 0100 0000 0000 5b871a13 c10643dd: extract_entropy(.. 16 ..)
[    5.496037] random 0100 0000 0000 5b871a13 c10643dd: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.496040] random 0100 0000 0000 5b871a13 c10643dd: extract_entropy(.. 16 ..)
[    5.496042] random 0100 0000 0000 5b871a13 c10643dd: trying to extract 128 bits from input
[    5.496044] random 0100 0000 0000 5b871a13 c10643dd: debiting 0 entropy credits from input
[    5.496046] random 0100 0000 0000 5b871a13 c10643dd: extract_entropy account returned: 0 
[    5.496049] random 0100 0000 0000 5b871a13 c10643dd: urand_change_num 1948 xfer_secondary_pool(16): pool_sig 0000040f, data_sig 00000000, bytes_mixed 0 5b871a13 c10643dd
[    5.496052] random 0100 0000 0000 5b871a13 c10643dd: trying to extract 128 bits from nonblocking
[    5.496055] random 0100 0000 0000 5b871a13 c10643dd: debiting 128 entropy credits from nonblocking (unlimited)
[    5.496057] random 0100 0000 0000 5b871a13 c10643dd: extract_entropy account returned: 16 
[    5.496061] random 0100 0000 0000 5b871a13 c10643dd: urand_change_num 1949 extract_buf: pool_sig 0000040f, data_sig ffffffc3, bytes_mixed 20 5b871a13 c10643dd
[    5.496066] random 0100 0000 0000 5b871a13 c10643dd: urand_change_num 1950 extract_buf: pool_sig fffffead, data_sig 0000005e, bytes_mixed 20 5b871a13 c10643dd
[    5.497353] RANDOM get_random_int call with cycles 14230220858043, jiffies 4294893668 and pid 1
[    5.501040] random 0100 0000 0000 47e903ea 3e0c85dd: rand_read_num 648 get_random_bytes(16): sig fffffbe6 47e903ea 3e0c85dd
[    5.501044] random 0100 0000 0000 47e903ea 3e0c85dd: extract_entropy(.. 16 ..)
[    5.501047] random 0100 0000 0000 47e903ea 3e0c85dd: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.501050] random 0100 0000 0000 47e903ea 3e0c85dd: extract_entropy(.. 16 ..)
[    5.501052] random 0100 0000 0000 47e903ea 3e0c85dd: trying to extract 128 bits from input
[    5.501054] random 0100 0000 0000 47e903ea 3e0c85dd: debiting 0 entropy credits from input
[    5.501057] random 0100 0000 0000 47e903ea 3e0c85dd: extract_entropy account returned: 0 
[    5.501060] random 0100 0000 0000 47e903ea 3e0c85dd: urand_change_num 1951 xfer_secondary_pool(16): pool_sig fffffbe6, data_sig 00000000, bytes_mixed 0 47e903ea 3e0c85dd
[    5.501063] random 0100 0000 0000 47e903ea 3e0c85dd: trying to extract 128 bits from nonblocking
[    5.501065] random 0100 0000 0000 47e903ea 3e0c85dd: debiting 128 entropy credits from nonblocking (unlimited)
[    5.501068] random 0100 0000 0000 47e903ea 3e0c85dd: extract_entropy account returned: 16 
[    5.501071] random 0100 0000 0000 47e903ea 3e0c85dd: urand_change_num 1952 extract_buf: pool_sig fffffbe6, data_sig ffffffbc, bytes_mixed 20 47e903ea 3e0c85dd
[    5.501076] random 0100 0000 0000 909441d6 ca572fe2: urand_change_num 1953 extract_buf: pool_sig fffff86b, data_sig 00000084, bytes_mixed 20 909441d6 ca572fe2
[    5.501531] random 0100 0000 0000 909441d6 ca572fe2: rand_read_num 649 get_random_bytes(16): sig ffffff28 909441d6 ca572fe2
[    5.501533] random 0100 0000 0000 909441d6 ca572fe2: extract_entropy(.. 16 ..)
[    5.501536] random 0100 0000 0000 909441d6 ca572fe2: going to reseed nonblocking with 128 bits (128 of 0 requested)
[    5.501539] random 0100 0000 0000 909441d6 ca572fe2: extract_entropy(.. 16 ..)
[    5.501541] random 0100 0000 0000 909441d6 ca572fe2: trying to extract 128 bits from input
[    5.501543] random 0100 0000 0000 909441d6 ca572fe2: debiting 0 entropy credits from input
[    5.501545] random 0100 0000 0000 909441d6 ca572fe2: extract_entropy account returned: 0 
[    5.501548] random 0100 0000 0000 909441d6 ca572fe2: urand_change_num 1954 xfer_secondary_pool(16): pool_sig ffffff28, data_sig 00000000, bytes_mixed 0 909441d6 ca572fe2
[    5.501551] random 0100 0000 0000 909441d6 ca572fe2: trying to extract 128 bits from nonblocking
[    5.501554] random 0100 0000 0000 909441d6 ca572fe2: debiting 128 entropy credits from nonblocking (unlimited)
[    5.501556] random 0100 0000 0000 909441d6 ca572fe2: extract_entropy account returned: 16 
[    5.501560] random 0100 0000 0000 909441d6 ca572fe2: urand_change_num 1955 extract_buf: pool_sig ffffff28, data_sig fffffe63, bytes_mixed 20 909441d6 ca572fe2
[    5.501564] random 0100 0000 0000 8b750667 7f531bea: urand_change_num 1956 extract_buf: pool_sig 0000024b, data_sig 00000148, bytes_mixed 20 8b750667 7f531bea
[    5.501782] random 0100 0000 0000 8b750667 7f531bea: add_disk_randomness(8:0) 8b750667 7f531bea
[    5.501787] random 0100 0000 0000 8b750667 7f531bea: add_timer_randomness(.. 8388864) with jiffies: 4315758992161693797, cycles: 4315758987866803441
[    5.505510] random 0100 0000 0000 8b750667 7f531bea: add_disk_randomness(8:0) 8b750667 7f531bea
[    5.505515] random 0100 0000 0000 8b750667 7f531bea: add_timer_randomness(.. 8388864) with jiffies: 4354151167949725798, cycles: 4354151163654835441
[    5.512159] RANDOM get_random_int call with cycles 14230256365981, jiffies 4294893671 and pid 1
[    5.512904] random 0100 0000 0000 8b750667 7f531bea: add_disk_randomness(8:0) 8b750667 7f531bea
[    5.512909] random 0100 0000 0000 8b750667 7f531bea: add_timer_randomness(.. 8388864) with jiffies: 4430314265391325288, cycles: 4430314261096434929
[    5.516905] random 0100 0000 0000 8b750667 7f531bea: add_disk_randomness(8:0) 8b750667 7f531bea
[    5.516910] random 0100 0000 0000 8b750667 7f531bea: add_timer_randomness(.. 8388864) with jiffies: 4471522436486979689, cycles: 4471522432192089329
